Date,Stock,Close,Volume
2019-05-28,AMZN,1836.430054,3200000
2019-05-29,AMZN,1819.189941,4279000
2019-05-30,AMZN,1816.319946,3146900
2019-05-31,AMZN,1775.069946,4618800
2019-06-03,AMZN,1692.689941,9098700
2019-06-04,AMZN,1729.560059,5679100
2019-06-05,AMZN,1738.5,4239800
2019-06-06,AMZN,1754.359985,3689300
2019-06-07,AMZN,1804.030029,4808200
2019-06-10,AMZN,1860.630005,5371000
2019-06-11,AMZN,1863.699951,4042700
2019-06-12,AMZN,1855.319946,2674500
2019-06-13,AMZN,1870.300049,2795800
2019-06-14,AMZN,1869.670044,2851200
2019-06-17,AMZN,1886.030029,2634300
2019-06-18,AMZN,1901.369995,3895700
2019-06-19,AMZN,1908.790039,2895300
2019-06-20,AMZN,1918.189941,3217200
2019-06-21,AMZN,1911.300049,3933600
2019-06-24,AMZN,1913.900024,2283000
2019-06-25,AMZN,1878.27002,3012300
2019-06-26,AMZN,1897.829956,2441900
2019-06-27,AMZN,1904.280029,2141700
2019-06-28,AMZN,1893.630005,3037400
2019-07-01,AMZN,1922.189941,3203300
2019-07-02,AMZN,1934.310059,2645900
2019-07-03,AMZN,1939,1690300
2019-07-05,AMZN,1942.910034,2628400
2019-07-08,AMZN,1952.319946,2883400
2019-07-09,AMZN,1988.300049,4345700
2019-07-10,AMZN,2017.410034,4931900
2019-07-11,AMZN,2001.069946,4317800
2019-07-12,AMZN,2011,2509300
2019-07-15,AMZN,2020.98999,2981300
2019-07-16,AMZN,2009.900024,2618200
2019-07-17,AMZN,1992.030029,2558800
2019-07-18,AMZN,1977.900024,3504300
2019-07-19,AMZN,1964.52002,3185600
2019-07-22,AMZN,1985.630005,2900000
2019-07-23,AMZN,1994.48999,2703500
2019-07-24,AMZN,2000.810059,2631300
2019-07-25,AMZN,1973.819946,4136500
2019-07-26,AMZN,1943.050049,4927100
2019-07-29,AMZN,1912.449951,4493200
2019-07-30,AMZN,1898.530029,2910900
2019-07-31,AMZN,1866.780029,4470700
2019-08-01,AMZN,1855.319946,4713300
2019-08-02,AMZN,1823.23999,4956200
2019-08-05,AMZN,1765.130005,6058200
2019-08-06,AMZN,1787.829956,5070300
2019-08-07,AMZN,1793.400024,4526900
2019-08-08,AMZN,1832.890015,3701200
2019-08-09,AMZN,1807.579956,2879800
2019-08-12,AMZN,1784.920044,2905500
2019-08-13,AMZN,1824.339966,3994000
2019-08-14,AMZN,1762.959961,4893600
2019-08-15,AMZN,1776.119995,3759100
2019-08-16,AMZN,1792.569946,3018000
2019-08-19,AMZN,1816.119995,2816300
2019-08-20,AMZN,1801.380005,1929500
2019-08-21,AMZN,1823.540039,2031800
2019-08-22,AMZN,1804.660034,2653500
2019-08-23,AMZN,1749.619995,5270800
2019-08-26,AMZN,1768.869995,3080000
2019-08-27,AMZN,1761.829956,3019700
2019-08-28,AMZN,1764.25,2419700
2019-08-29,AMZN,1786.400024,3015100
2019-08-30,AMZN,1776.290039,3058700
2019-09-03,AMZN,1789.839966,3543000
2019-09-04,AMZN,1800.619995,2324100
2019-09-05,AMZN,1840.719971,3310800
2019-09-06,AMZN,1833.51001,2496900
2019-09-09,AMZN,1831.349976,2999500
2019-09-10,AMZN,1820.550049,2613900
2019-09-11,AMZN,1822.98999,2432800
